买	1.0
读	0.839281063203
说	0.782500651152
包装	0.661340602205
喜欢	0.589342083062
翻译	0.576092992627
看完	0.56884760106
不错	0.554995683562
值得	0.463385627489
阅读	0.463120252532
写	0.422619447398
想	0.419698684756
推荐	0.417390577879
读完	0.407402978424
平凡	0.384744543842
失望	0.381922068221
发现	0.360333324051
好看	0.357016137091
完	0.352101786039
看过	0.350915789318
正版	0.337009813959
收藏	0.318667817717
希望	0.309949758951
快递	0.300951582175
没看	0.28854284577
收到	0.285392746745
爱	0.273075744893
吸引	0.272327125416
差	0.269460420636
感动	0.260000294861
盗版	0.256658536146
满意	0.252672997443
适合	0.236160777909
购买	0.234252371584
很好	0.226892311825
孤独	0.225216518117
懂	0.215009410982
破损	0.210799450248
看着	0.206027615377
简单	0.206003043621
只能	0.205921137771
买来	0.202146916163
解忧	0.199204858
理解	0.198890339533
感受	0.195379854765
高	0.194814704394
平淡	0.189634978385
送	0.183790176867
期待	0.182946546604
还好	0.178936436145
做	0.178363095189
好评	0.17227749047
看不懂	0.169307584318
巧妙	0.16744995962
很棒	0.165412142051
像是	0.165135300275
破	0.164820781808
翻	0.163207236546
选择	0.162877975025
看不下去	0.160635392829
看书	0.153973170919
构思	0.151568415138
拿到	0.150513467779
打开	0.15033163679
讲	0.145418923855
长	0.144221460316
思考	0.140117977188
推理	0.137675544715
不到	0.136956411344
想要	0.136756561068
装订	0.13601940841
畅销	0.135988284187
开头	0.132612125015
花	0.131062466316
无聊	0.130259788978
赞	0.128244905047
可惜	0.123987438919
郁闷	0.12310777008
少	0.121346794287
描写	0.120798025086
损坏	0.119325357888
震撼	0.119004286952
舒服	0.118001759338
送货	0.117356341233
悬疑	0.115153073845
倒	0.114810707388
不知	0.111460758088
表达	0.109906185038
充满	0.109632619497
还行	0.108720188318
算	0.104058107287
叙事	0.103848428309
算是	0.102860643747
不想	0.102714851333
描述	0.10148626357
新	0.101243822251
烦恼	0.100280609445
找到	0.100156112552
共鸣	0.0992633387773
发生	0.0986949121724
介绍	0.0986818072362
好像	0.0984066035773
深	0.0983541838328
装	0.0983148690244
感触	0.0945930671612
难	0.0942982060981
美好	0.0935004431107
叙述	0.092106405529
改变	0.0905960616391
全	0.090114455236
治愈	0.0894428272589
有趣	0.0878882542095
回味	0.0866613045636
怀疑	0.0866531139785
告诉	0.0858946657996
估计	0.0842598250163
很大	0.083938754081
完整	0.0830066654981
带来	0.0823481424572
退货	0.0823104657658
遗憾	0.0821712258193
请	0.081003248386
打动	0.0800646073352
读到	0.079766470038
烂	0.0792389963585
精致	0.0791554523906
肯定	0.0791325187523
清晰	0.0789539639975
糟糕	0.0786509123493
细腻	0.0785526253282
贵	0.078146372308
平庸	0.0778891879362
写作	0.0759005138773
精美	0.0751011127729
删减	0.0739364115736
类似	0.0732565930115
搞	0.0723638192371
暖	0.0712433471973
找	0.0707273403368
穿越	0.0705897385074
弄	0.0704144599865
后悔	0.0699361298175
卖	0.0695822965418
帮	0.0693726175636
听	0.0689614501922
排版	0.0685109680125
不算	0.0683062033853
想买	0.0678426162694
惊喜	0.067329885643
读读	0.0672709134304
便宜	0.0671447784201
听说	0.0670006241226
生硬	0.0665976473363
幸福	0.0665141033685
接受	0.0656950448598
成功	0.0646302687986
触动	0.063626103067
看似	0.063341070706
完好	0.0631690684192
巧合	0.0631035437385
讲述	0.0626022799313
出版	0.0623336287404
流畅	0.0614457693171
夸张	0.0614179213278
混乱	0.0610477068819
朴实	0.0610280494777
艰难	0.060772503223
导致	0.0605661004788
耐心	0.0603646120857
看一遍	0.0602728775327
不用	0.0601614855756
开心	0.0599681877675
想到	0.059914129906
挺快	0.0598387765232
放弃	0.059350617652
感	0.0588149533874
欣赏	0.0586413129835
打算	0.058117115538
轻松	0.0573701341782
送来	0.0572014081254
掉	0.056688677499
反复	0.0564609792336
善良	0.0563757971487
再读	0.0563332061062
不行	0.056118612777
送给	0.0560825742026
翻看	0.0557533126821
神奇	0.0549309779395
想法	0.0533157945605
佩服	0.0526949482109
感到	0.0526867576258
想想	0.0525491557964
走	0.0524852692327
欲望	0.0521543695952
保护	0.0518922708725
展开	0.0505293575141
缺	0.050521166929
配送	0.0502820018445
读懂	0.0502197533979
拜读	0.0493679325489
支持	0.0492254163684
记得	0.0490550521986
不太好	0.0487765723057
压坏	0.0486864758697
难懂	0.0485636170934
记不住	0.0481721071263
薄	0.0481622784242
有限	0.0480770963393
平静	0.0479345801588
脏	0.0479231133397
完美	0.0478706935951
开	0.0478706935951
拆开	0.0476167854575
想起	0.0475840231171
奇妙	0.0474464212877
棒	0.0470450826184
解决	0.0468616135125
买到	0.046530713875
打发	0.0464045788647
学习	0.0463767308754
发	0.0463734546414
放在	0.0463013774926
貌似	0.0462997393756
放下	0.0461834330674
换	0.0461342895568
没法	0.0454577472287
皱	0.0451235713572
说好	0.0450580466765
下载	0.0447500806773
提到	0.0446173931989
哭	0.0445141918268
改进	0.0443880568164
晕	0.0443503801251
期望	0.044158720434
寄	0.0440948338704
印	0.044057157179
年轻	0.0437098763713
热爱	0.0436197799354
设定	0.0434297583614
分	0.0432872421809
厉害	0.0432724991277
心疼	0.0427695972034
送到	0.0427253680439
退	0.0426991581717
感谢	0.0422634190451
转折	0.0419816629181
顺畅	0.0414083219621
勉强	0.0412510627284
碰到	0.0410282788141
新颖	0.0409611160164
重	0.0409545635483
感悟	0.0409365442611
好好看	0.0406924648255
停不下来	0.0406646168362
翻开	0.0404123468156
感叹	0.0403976037624
授权	0.0403320790817
低	0.0402681925181
爱看	0.0400781709441
